Direccion,count
27 DE FEBRERO AV. y ESCALADA AV.,5
"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",4
"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",4
"INDEPENDENCIA AV. y CEVALLOS, VIRREY",3
"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",3
"PAZ, GRAL. AV. y DE LOS CORRALES AV.",3
"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",3
"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",3
AUTOPISTA 25 DE MAYO y BOEDO AV.,2
"PAZ, GRAL. AV. y RIVADAVIA AV.",2
"LAVALLE y ALEM, LEANDRO N. AV.",2
AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,2
"OLIVERA AV. y FALCON, RAMON L.,CNEL.",2
AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,2
"SALGUERO, JERONIMO y RIVADAVIA AV.",2
"ALCORTA, AMANCIO AV. y ZAVALETA",2
"PAZ, GRAL. AV. y DONADO",2
"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",2
"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",2
AUTOPISTA PERITO MORENO y BARRAGAN,2
